Name,Category,Description,RegularPrice,TaxType,IsRecommended,IsActive,Email,Image
MTR Alu Muttar 300g,Ready to cook or Eat & Fry,Aisle -,2.99,0,1,1,sathishhn2005@gmail.com,MTRallum300g.jpeg
MTR Bhindi Masala 100g,Ready to cook or Eat & Fry,Aisle -,3.99,0,1,1,sathishhn2005@gmail.com,MTRbhindi100g.jpeg
MTR Lemon Rice 250g,Ready to cook or Eat & Fry,Aisle -,4.99,0,1,1,sathishhn2005@gmail.com,MTRlemon250g.jpg
MTR Mix veg curry 300g,Ready to cook or Eat & Fry,Aisle -,5.99,0,1,1,sathishhn2005@gmail.com,MTRmixved300g.png
MTR Mutter Paneer 300g,Ready to cook or Eat & Fry,Aisle -,6.99,0,1,1,sathishhn2005@gmail.com,MTRMuttarPaneer300g_9989B_900x.png
MTR Navaratan Kurma 300g,Ready to cook or Eat & Fry,Aisle -,7.99,0,1,1,sathishhn2005@gmail.com,mtrravadosa200g.jpg
MTR Pav Bhaji Masala 100g,Ready to cook or Eat & Fry,Aisle -,8.99,0,1,1,sathishhn2005@gmail.com,mtrravadosa200g.jpeg
MTR Rava Dosa Mix 300g,Ready to cook or Eat & Fry,Aisle -,9.99,0,1,1,sathishhn2005@gmail.com,mtrravadosa200g.jpeg
MTR Sambhar Mix 200g,Ready to cook or Eat & Fry,Aisle -,11.99,0,1,1,sathishhn2005@gmail.com,mtrsambar.jpeg
MTR Upma Mix 300g,Ready to cook or Eat & Fry,Aisle -,12.99,0,1,1,sathishhn2005@gmail.com,mtrupma300g.png
